episode,reward
100,153.72
200,122.74
300,117.66
400,96.57
500,23.59
600,35.99
700,41.24
800,65.58
900,93.1
1000,130.56
1100,147.4
1200,90.45
1300,159.61
1400,100.79
1500,44.02
1600,82.79
1700,26.15
1800,76.8
1900,81.67
2000,68.51
2100,181.11
2200,191.54
2300,111.74
2400,8.55
2500,89.77
2600,100.92
2700,81.42
2800,34.96
2900,103.67
3000,171.14
3100,132.93
3200,78.74
3300,147.94
3400,121.2
3500,122.59
3600,120.01
3700,107.75
3800,122.12
3900,99.9
4000,61.6
4100,17.99
4200,140.89
4300,52.79
4400,120.87
4500,137.94
4600,127.79
4700,93.5
4800,82.35
4900,6.84
5000,89.7
5100,135.94
5200,36.98
5300,54.04
5400,109.89
5500,212.16
5600,53.72
5700,5.93
5800,69.55
5900,116.15
6000,137.59
6100,30.26
6200,91.29
6300,37.92
6400,20.76
6500,94.66
6600,89.36
6700,140.61
6800,117.09
6900,95.18
7000,177.98
7100,96.93
7200,99.67
7300,137.54
7400,92.93
7500,84.56
7600,11.07
7700,78.62
7800,186.35
7900,85.75
8000,-28.74
8100,-16.8
8200,80.81
8300,44.32
8400,58.29
8500,20.83
8600,169.06
8700,67.54
8800,118.57
8900,149.41
9000,85.2
9100,63.35
9200,94.48
9300,176.33
9400,115.18
9500,123.58
9600,74.33
9700,93.96
9800,57.82
9900,89.77
