episode,reward
100,65.77
200,78.25
300,93.87
400,29.08
500,248.39
600,146.36
700,249.86
800,155.83
900,32.67
1000,72.91
1100,239.26
1200,50.75
1300,72.11
1400,94.35
1500,130.21
1600,127.69
1700,91.4
1800,253.57
1900,109.73
2000,81.83
2100,175.03
2200,77.53
2300,45.78
2400,75.46
2500,164.7
2600,166.55
2700,70.18
2800,231.48
2900,243.1
3000,195.1
3100,176.44
3200,220.65
3300,259.83
3400,136.87
3500,149.43
3600,119.53
3700,146.52
3800,142.04
3900,166.08
4000,140.26
4100,64.3
4200,200.14
4300,62.83
4400,144.87
4500,-16.33
4600,167.53
4700,161.08
4800,144.46
4900,242.05
5000,123.4
5100,265.42
5200,157.17
5300,66.92
5400,115.81
5500,119.8
5600,156.11
5700,156.59
5800,86.25
5900,62.29
6000,32.67
6100,-16.19
6200,60.2
6300,102.74
6400,276.36
6500,128.81
6600,101.27
6700,194.38
6800,101.01
6900,44.51
7000,155.57
7100,108.07
7200,50.56
7300,270.87
7400,83.82
7500,69.41
7600,32.42
7700,47.76
7800,125.64
7900,138.11
8000,138.84
8100,151.83
8200,-40.96
8300,121.02
8400,209.77
8500,110.55
8600,168.29
8700,103.53
8800,114.31
8900,176.01
9000,24.81
9100,61.48
9200,-116.29
9300,253.57
9400,156.31
9500,234.81
9600,158.19
9700,182.75
9800,184.98
9900,96.13
